num_elements,num_buckets,approx_ops_base_2,approx_ops_base_e
1,1,1.0,1.0
1,2,1.9999999999999993,1.9999999999999993
1,3,3.0000000000000018,3.0000000000000018
1,4,3.9999999999999956,3.9999999999999956
1,5,5.000000000000008,5.000000000000008
1,6,6.000000000000003,6.000000000000003
1,7,6.999999999999996,6.999999999999996
1,8,7.999999999999989,7.999999999999989
1,9,8.999999999999988,8.999999999999988
1,10,10.000000000000009,10.000000000000009
1,11,11.00000000000002,11.00000000000002
1,12,11.999999999999973,11.999999999999973
1,13,12.999999999999995,12.999999999999995
1,14,14.000000000000057,14.000000000000057
1,15,14.999999999999954,14.999999999999954
1,16,16.000000000000007,16.000000000000007
1,17,17.000000000000046,17.000000000000046
1,18,17.99999999999995,17.99999999999995
1,19,19.000000000000036,19.000000000000036
1,20,19.999999999999993,19.999999999999993
1,21,20.99999999999999,20.99999999999999
1,22,21.999999999999922,21.999999999999922
1,23,23.000000000000163,23.000000000000163
1,24,23.999999999999904,23.999999999999904
1,25,24.999999999999968,24.999999999999968
1,26,26.00000000000022,26.00000000000022
1,27,27.0,27.0
1,28,27.999999999999567,27.999999999999567
1,29,29.000000000000014,29.000000000000014
1,30,30.000000000000494,30.000000000000494
1,31,30.99999999999964,30.99999999999964
1,32,31.999999999999844,31.999999999999844
2,1,2.0,1.3862943611198906
2,2,2.499999999999999,2.1931471805599445
2,3,3.333333333333335,3.1287647870399646
2,4,4.249999999999998,4.096573590279971
2,5,5.200000000000004,5.0772588722239815
2,6,6.166666666666672,6.064382393519987
2,7,7.1428571428571415,7.055184908731412
2,8,8.124999999999986,8.048286795139973
2,9,9.111111111111084,9.042921595679962
2,10,10.099999999999998,10.038629436111986
2,11,11.090909090909122,11.035117669192747
2,12,12.083333333333327,12.032191196759985
2,13,13.076923076923045,13.029714950855343
2,14,14.071428571428624,14.02759245436576
2,15,15.066666666666674,15.025752957408
2,16,16.06249999999996,16.024143397569954
2,17,17.058823529411814,17.022723197712985
2,18,18.055555555555557,18.021460797839996
2,19,19.052631578947356,19.020331282164193
2,20,20.050000000000026,20.01931471805602
2,21,21.047619047619026,21.018394969577116
2,22,22.045454545454454,22.01755883459627
2,23,23.043478260869655,23.0167954070053
2,24,24.04166666666673,24.01609559838006
2,25,25.03999999999988,25.015451774444674
2,26,26.038461538461718,26.014857475427867
2,27,27.03703703703726,27.014307198560218
2,28,28.035714285713855,28.01379622718242
2,29,29.03448275862026,29.0133204952106
2,30,30.03333333333384,30.012876478704502
2,31,31.032258064516267,31.01246110842336
2,32,32.03124999999949,32.01207169878448
3,1,4.754887502163469,3.295836866004329
3,2,3.6887218755408684,2.8636799873410013
3,3,4.083876389129278,3.5126225591915228
3,4,4.797180468885218,4.36078038225521
3,5,5.630195500086548,5.2772547679777295
3,6,6.5209690972823235,6.224729230077858
3,7,7.443977295962528,7.1887578646155665
3,8,8.3867951172213,8.162625288273778
3,9,9.342652932125448,9.14280125349234
3,10,10.30754887502162,10.127257846162399
3,11,11.278966012414598,11.114749319831436
3,12,12.255242274320581,12.104469102659452
3,13,13.235236020722843,13.095872389741524
3,14,14.21813718113353,14.08857814770249
3,15,15.203355055565186,15.082312000146858
3,16,16.19044877930535,16.07687141842346
3,17,17.17908265571681,17.072103689272506
3,18,18.168996566364722,18.0678915101331
3,19,19.159985837956157,19.06414330295426
3,20,20.151887218755373,20.060786538624562
3,21,21.144568905900584,21.05776303522266
3,22,22.137923321285346,22.055025581852274
3,23,23.131861791119473,23.052535472022598
3,24,24.126310568580127,24.05026067323484
3,25,25.1212078200035,25.04817444938666
3,26,26.11650131287309,26.046254310576987
3,27,27.1121466220882,27.04448120306377
3,28,28.10810572385459,28.042838877699683
3,29,29.10434588287966,29.041313392627472
3,30,30.100838763891385,30.039892718092794
3,31,31.09755971644359,31.038566419736654
3,32,32.09448719482629,32.03732540278332
4,1,8.0,5.545177444479562
4,2,5.502443751081731,4.0057863844020245
4,3,5.260707408048433,4.191960631088575
4,4,5.657166406655647,4.827423677140709
4,5,6.3046256002769265,5.626902607744469
4,6,7.074526620570691,6.501879948761805
4,7,7.9128784258073575,7.417156980263792
4,8,8.793236035274555,8.356248343480162
4,9,9.701174760040052,9.310492444206618
4,10,10.628175950077868,10.274934364124885
4,11,11.56889218639111,11.246547910410682
4,12,12.519800376212492,12.223386403774136
4,13,13.478486390579805,13.204143684579092
4,14,14.44324130835008,14.187912236389357
4,15,15.412821837072933,15.174042729071912
4,16,16.386302063019947,16.16205878342688
4,17,17.36297838390772,17.15160327204337
4,18,18.342306644401056,18.14240337903198
4,19,19.32385944017438,19.134247218226296
4,20,20.30729643127056,20.126967795680827
4,21,21.29234326748437,21.12043176691634
4,22,22.278776347687902,22.114531400611487
4,23,23.26641161339617,23.10917873315902
4,24,24.255096184186826,24.104301249371456
4,25,25.244702028813286,25.099838645031113
4,26,26.235121116876428,26.095740368584906
4,27,27.226261662359754,27.091963732165485
4,28,28.218045182681703,28.08847244417395
4,29,29.210404174022557,29.085235457835033
4,30,30.203280257416736,30.082226059263437
4,31,31.19662268806864,31.079421138981758
4,32,32.190387147530174,32.076800605317594
5,1,11.60964047443681,8.047189562170502
5,2,7.822407218504471,5.537149315988159
5,3,6.837100500752788,5.163407253539885
5,4,6.826365295582612,5.508397057312982
5,5,7.226226625312954,6.140020845006701
5,6,7.832045922851337,6.9085677419561184
5,7,8.554506097981399,7.751478385954656
