num_elements,num_buckets,approx_ops_base_2,approx_ops_base_e
10000,800000,800062.6886333865,800024.4350890327
10000,810000,810061.9123338314,810024.1298485475
10000,820000,820061.1550622206,820023.8321757668
10000,830000,830060.4160673238,830023.541732656
10000,840000,840059.6946920201,840023.2582556581
10000,850000,850058.9903998346,850022.9815833856
10000,860000,860058.3024631283,860022.711345889
10000,870000,870057.630408619,870022.44741116
10000,880000,880056.9737141883,880022.1895828837
10000,890000,890056.3317451131,890021.9375375363
10000,900000,900055.7041350957,900021.6912062084
10000,910000,910055.0903319548,910021.4503210762
10000,920000,920054.4899402913,920021.2147587545
10000,930000,930053.9024452646,930020.9842647498
10000,940000,940053.3275117294,940020.7587532038
10000,950000,950052.7647047793,950020.5380280259
10000,960000,960052.21365772,960020.3219514097
10000,970000,970051.673983239,970020.1103555119
10000,980000,980051.1453734747,980019.9031429989
10000,990000,990050.6274682771,990019.7001557607
10000,1000000,1000050.1199525679,1000019.5012726978
20000,10000,32278.272832246537,23619.392673832994
20000,20000,31259.519773580123,26182.841746720682
20000,30000,37376.10264446593,33784.332200224264
20000,40000,45447.92939164285,42669.06596614123
20000,50000,54307.01331925624,52041.04957403419
20000,60000,63556.43784883643,61643.56236127209
20000,70000,73026.43269252047,71371.45280948572
20000,80000,82632.77646402192,81174.4200395932
20000,90000,92329.11234743126,91025.62341006593
20000,100000,102087.88238631502,100909.52873738977
20000,110000,111891.70153450004,110816.56284976714
20000,120000,121729.07197075749,120740.52361050273
20000,130000,131592.0913835835,130677.22574981884
20000,140000,141475.15237994862,140623.74770136343
20000,150000,151374.1674364265,150577.9909611841
20000,160000,161286.08755751062,160538.41095061344
20000,170000,171208.59270765682,170503.84655685452
20000,180000,181139.8865682233,180473.40868286995
20000,190000,191078.55688575417,190446.40540758157
20000,200000,201023.4781442499,200422.29042470714
20000,210000,210973.74242585342,210400.6268490292
20000,220000,220928.60929897986,220381.06123236776
20000,230000,230887.46892176513,230363.3046131511
20000,240000,240849.81455497132,240347.11856523578
20000,250000,250815.2216064703,250332.30458353652
20000,260000,260783.3316789648,260318.69612383257
20000,270000,270753.8402112957,270306.1524871777
20000,280000,280726.4866487541,280294.55391547177
20000,290000,290701.0468287821,290283.7978975142
20000,300000,300677.32691095694,300273.7962460527
20000,310000,310655.1582741144,310264.4725412379
20000,320000,320634.39370521053,320255.76039411966
20000,330000,330614.90395467007,330247.60170450725
20000,340000,340596.5752402089,340239.9455701543
20000,350000,350579.3068379114,350232.7470454177
20000,360000,360563.00941462,360225.96644861397
20000,370000,370547.60331675765,370219.56846968085
20000,380000,380533.0174578592,380213.5217484301
20000,390000,390519.1880260172,390207.7981677847
20000,400000,400506.05773245194,400202.3726010534
20000,410000,410493.5748577822,410197.22238472657
20000,420000,420481.6927031069,420192.3271356872
20000,430000,430470.368915576,430187.66839232587
20000,440000,440459.5651217109,440183.2295207902
20000,450000,450449.2462398373,450178.9952644229
20000,460000,460439.38045207434,460174.95192175487
20000,470000,470429.9384662028,470171.08678880765
20000,480000,480420.8936002845,480167.3884013426
20000,490000,490412.22135902813,490163.84624995006
20000,500000,500403.89914513176,500160.4506135998
20000,510000,510395.906186192,510157.19259443786
20000,520000,520388.22332948796,520154.06400805025
20000,530000,530380.832926456,530151.057352884
20000,540000,540373.7185644757,540148.1656174521
20000,550000,550366.8650569816,550145.3823376566
20000,560000,560360.2582910352,560142.7015046942
20000,570000,570353.885191929,570140.1175833024
20000,580000,580347.7336718227,580137.6255088594
20000,590000,590341.7923021923,590135.2204032593
20000,600000,600336.0504754755,600132.8977756653
20000,610000,610330.4982893566,610130.6534420813
20000,620000,620325.1266205225,620128.4836310575
20000,630000,630319.9266971074,630126.3845850315
20000,640000,640314.8904797751,640124.3529675835
20000,650000,650310.0103230905,650122.3855486135
20000,660000,660305.2790758613,660120.4793263896
20000,670000,670300.6900850316,670118.6315510657
20000,680000,680296.2368902827,680116.8394373546
20000,690000,690291.913738959,690115.1006958272
20000,700000,700287.7148725074,700113.4128344756
